Tensor,Dimensions,Rank,Gs,Entanglement
"2,2,2",2×2×2,7,"[4, 3]",-0.1635316847583111
"2,2,3",2×2×3,11,"[7, 3, 1]",-0.20190260758745626
"2,2,4",2×2×4,14,"[3, 10, 0, 1]",-0.46059476214114486
"2,2,5",2×2×5,18,"[6, 7, 1, 4, 0]",-0.533296150845912
"2,2,6",2×2×6,21,"[6, 15, 0, 0, 0, 0]",-0.3615737363468669
"2,2,7",2×2×7,25,"[8, 14, 3, 0, 0, 0, 0]",-0.40666721044673926
"2,2,8",2×2×8,28,"[8, 15, 4, 0, 1, 0, 0, 0]",-0.45222199221496734
"2,3,3",2×3×3,15,"[4, 9, 2]",-0.3800483900310939
"2,3,4",2×3×4,20,"[8, 12, 0, 0]",-0.23356675154201254
"2,3,5",2×3×5,25,"[6, 15, 3, 1, 0]",-0.42085200062698147
"2,4,4",2×4×4,26,"[8, 13, 3, 2]",-0.37233520966496314
"2,4,5",2×4×5,33,"[9, 16, 6, 2, 0]",-0.42746499654065195
"2,5,5",2×5×5,40,"[8, 13, 13, 5, 1]",-0.5727010191357469
"3,3,3",3×3×3,23,"[13, 7, 3]",-0.19391244253020948
"3,3,4",3×3×4,29,"[8, 12, 7, 2]",-0.4313851987591879
"3,3,5",3×3×5,36,"[10, 13, 12, 1, 0]",-0.431871870141804
"3,4,4",3×4×4,38,"[13, 11, 12, 2]",-0.3869260744084026
"3,4,5",3×4×5,47,"[15, 10, 17, 2, 3]",-0.46237289422198774
"3,4,11",3×4×11,103,"[25, 25, 36, 10, 2, 4, 1, 0, 0, 0, 0]",-0.5584657973722476
"3,5,5",3×5×5,58,"[16, 16, 17, 6, 3]",-0.4828315125331887
"3,5,9",3×5×9,105,"[27, 32, 23, 6, 7, 7, 3, 0, 0]",-0.5621395784124763
"3,9,11",3×9×11,225,"[30, 21, 36, 4, 3, 6, 65, 36, 24, 0, 0]",-1.185957713295497
"4,4,4",4×4×4,49,"[16, 24, 0, 9]",-0.3270633695166222
"4,4,5",4×4×5,63,"[25, 12, 12, 10, 4]",-0.42462886777593634
"4,5,5",4×5×5,76,"[40, 4, 12, 16, 4]",-0.3120683860602363
"4,5,9",4×5×9,139,"[40, 33, 29, 21, 4, 5, 5, 2, 0]",-0.5554075695633879
